date,cpu,netin,netout
04/19/2021 22:30:14,74.2373,6117.0,69258.0
04/19/2021 22:32:15,67,3245.0,1918.0
04/19/2021 22:32:16,31.5517,7540.0,71752.0
04/19/2021 22:34:18,48.9831,29951.0,41422.0
04/19/2021 22:34:18,52.1667,6228.0,71018.0
04/19/2021 22:36:20,0.4918,3216.0,2784.0
04/19/2021 22:36:20,0.4918,4146.0,3838.0
04/19/2021 22:38:22,0.339,3084.0,2580.0
04/19/2021 22:38:22,0.4918,3444.0,2984.0
04/19/2021 22:40:24,0.5,4710.0,3646.0
04/19/2021 22:40:24,0.5,3632.0,2912.0
04/19/2021 22:42:27,100,5617.0,69038.0
04/19/2021 22:46:29,89.322,6777.0,70886.0
04/19/2021 22:48:31,92.7869,8220.0,136649.0
04/19/2021 22:50:34,81.8644,7895.0,70946.0
04/19/2021 22:52:36,100,8938.0,74207.0
04/19/2021 22:54:38,72.1311,7185.0,71884.0
04/19/2021 22:54:39,55.5,5619.0,70642.0
04/19/2021 22:56:40,28.3333,5020.0,70039.0
04/19/2021 22:56:41,71.9672,8408.0,72873.0
04/19/2021 22:58:43,45.8333,5926.0,70698.0
04/19/2021 22:58:44,0.5085,3618.0,3068.0
04/19/2021 23:00:45,0.6557,15425.0,23869.0
04/19/2021 23:00:46,0.5085,5471.0,5399.0
04/19/2021 23:02:47,0.6557,3420.0,2908.0
04/19/2021 23:02:48,0.6557,3632.0,3012.0
04/19/2021 23:04:51,0.5,3622.0,3040.0
04/19/2021 23:08:54,22,4484.0,4444.0
04/19/2021 23:10:56,0.5,5141.0,5358.0
04/19/2021 23:12:57,53.6667,4117.0,3080.0
04/19/2021 23:15:00,90.6557,11381.0,140588.0
04/19/2021 23:17:01,73.8333,5525.0,69226.0
04/19/2021 23:19:03,19,9439.0,74509.0
04/19/2021 23:21:04,100,9061.0,72777.0
04/19/2021 23:23:06,100,5959.0,69876.0
04/19/2021 23:25:08,100,10637.0,140235.0
04/19/2021 23:27:10,98.1667,8500.0,72986.0
04/19/2021 23:29:12,94.918,8371.0,136760.0
04/19/2021 23:31:14,40.3333,5298.0,69812.0
04/19/2021 23:31:15,61.4754,3855.0,2637.0
04/19/2021 23:33:17,71.6667,5179.0,69030.0
04/19/2021 23:33:17,16.2295,5207.0,3396.0
04/19/2021 23:35:19,70.1667,5503.0,69648.0
04/19/2021 23:35:20,28.3607,8407.0,73018.0
04/19/2021 23:37:21,70.3279,7106.0,71527.0
04/19/2021 23:37:22,55.6667,5929.0,5007.0
04/19/2021 23:39:24,40.678,5914.0,70458.0
04/19/2021 23:39:24,61.6667,6082.0,70838.0
04/19/2021 23:41:26,72,5207.0,69134.0
04/19/2021 23:41:27,29.0164,6437.0,70448.0
04/19/2021 23:43:28,98.6885,16170.0,79619.0
04/19/2021 23:43:29,71.5,7557.0,70424.0
04/19/2021 23:45:31,72,6963.0,70510.0
04/19/2021 23:45:32,61.5,3255.0,2126.0
04/19/2021 23:47:34,45.8333,5885.0,70630.0
04/19/2021 23:47:34,54.4262,6292.0,70767.0
04/19/2021 23:49:36,71.8333,5660.0,69740.0
04/19/2021 23:49:37,28.1667,3661.0,2198.0
04/19/2021 23:51:39,58.6667,6215.0,70666.0
04/19/2021 23:51:39,72.7119,5526.0,69202.0
04/19/2021 23:53:41,0.5,3676.0,2972.0
04/19/2021 23:53:42,0.5085,4910.0,3974.0
04/19/2021 23:55:43,0.5085,8020.0,9696.0
04/19/2021 23:55:44,41.1667,3392.0,2832.0
04/19/2021 23:57:46,69.6667,9232.0,74370.0
04/19/2021 23:57:47,72.5,6051.0,70554.0
04/19/2021 23:59:48,79.5,5760.0,69556.0
04/19/2021 23:59:49,52.7869,5657.0,70402.0
04/20/2021 00:01:50,63.6667,5958.0,70534.0
04/20/2021 00:01:51,36.7797,6642.0,71652.0
04/20/2021 00:03:53,54.2373,5810.0,70610.0
04/20/2021 00:03:54,72.3333,5175.0,69026.0
04/20/2021 00:05:55,71.8333,8012.0,72123.0
04/20/2021 00:05:56,100,8157.0,72946.0
